日付,店舗,カテゴリ,売上
2025-01-01,新宿店,家電,1727000
2025-01-01,新宿店,食品,916000
2025-01-01,新宿店,日用品,594000
2025-01-01,新宿店,衣料品,1058000
2025-01-01,大阪店,家電,1468000
2025-01-01,大阪店,食品,779000
2025-01-01,大阪店,日用品,505000
2025-01-01,大阪店,衣料品,900000
2025-01-01,オンライン,家電,2159000
2025-01-01,オンライン,食品,1145000
2025-01-01,オンライン,日用品,744000
2025-01-01,オンライン,衣料品,1323000
2025-02-01,新宿店,家電,1652000
2025-02-01,新宿店,食品,877000
2025-02-01,新宿店,日用品,569000
2025-02-01,新宿店,衣料品,1012000
2025-02-01,大阪店,家電,1404000
2025-02-01,大阪店,食品,746000
2025-02-01,大阪店,日用品,483000
2025-02-01,大阪店,衣料品,861000
2025-02-01,オンライン,家電,2066000
2025-02-01,オンライン,食品,1096000
2025-02-01,オンライン,日用品,712000
2025-02-01,オンライン,衣料品,1266000
2025-03-01,新宿店,家電,1946000
2025-03-01,新宿店,食品,1032000
2025-03-01,新宿店,日用品,670000
2025-03-01,新宿店,衣料品,1192000
2025-03-01,大阪店,家電,1654000
2025-03-01,大阪店,食品,878000
2025-03-01,大阪店,日用品,569000
2025-03-01,大阪店,衣料品,1014000
2025-03-01,オンライン,家電,2434000
2025-03-01,オンライン,食品,1290000
2025-03-01,オンライン,日用品,839000
2025-03-01,オンライン,衣料品,1491000
2025-04-01,新宿店,家電,1872000
2025-04-01,新宿店,食品,993000
2025-04-01,新宿店,日用品,644000
2025-04-01,新宿店,衣料品,1147000
2025-04-01,大阪店,家電,1591000
2025-04-01,大阪店,食品,844000
2025-04-01,大阪店,日用品,548000
2025-04-01,大阪店,衣料品,975000
2025-04-01,オンライン,家電,2341000
2025-04-01,オンライン,食品,1241000
2025-04-01,オンライン,日用品,807000
2025-04-01,オンライン,衣料品,1434000
2025-05-01,新宿店,家電,1852000
2025-05-01,新宿店,食品,982000
2025-05-01,新宿店,日用品,637000
2025-05-01,新宿店,衣料品,1134000
2025-05-01,大阪店,家電,1574000
2025-05-01,大阪店,食品,835000
2025-05-01,大阪店,日用品,542000
2025-05-01,大阪店,衣料品,965000
2025-05-01,オンライン,家電,2316000
2025-05-01,オンライン,食品,1227000
2025-05-01,オンライン,日用品,798000
2025-05-01,オンライン,衣料品,1418000
2025-06-01,新宿店,家電,1946000
2025-06-01,新宿店,食品,1032000
2025-06-01,新宿店,日用品,670000
2025-06-01,新宿店,衣料品,1192000
2025-06-01,大阪店,家電,1654000
2025-06-01,大阪店,食品,878000
2025-06-01,大阪店,日用品,569000
2025-06-01,大阪店,衣料品,1013000
2025-06-01,オンライン,家電,2433000
2025-06-01,オンライン,食品,1289000
2025-06-01,オンライン,日用品,838000
2025-06-01,オンライン,衣料品,1490000
2025-07-01,新宿店,家電,2118000
2025-07-01,新宿店,食品,1123000
2025-07-01,新宿店,日用品,729000
2025-07-01,新宿店,衣料品,1297000
2025-07-01,大阪店,家電,1800000
2025-07-01,大阪店,食品,955000
2025-07-01,大阪店,日用品,620000
2025-07-01,大阪店,衣料品,1103000
2025-07-01,オンライン,家電,2649000
2025-07-01,オンライン,食品,1403000
2025-07-01,オンライン,日用品,913000
2025-07-01,オンライン,衣料品,1622000
2025-08-01,新宿店,家電,2099000
2025-08-01,新宿店,食品,1113000
2025-08-01,新宿店,日用品,723000
2025-08-01,新宿店,衣料品,1286000
2025-08-01,大阪店,家電,1784000
2025-08-01,大阪店,食品,946000
2025-08-01,大阪店,日用品,614000
2025-08-01,大阪店,衣料品,1093000
2025-08-01,オンライン,家電,2625000
2025-08-01,オンライン,食品,1391000
2025-08-01,オンライン,日用品,904000
2025-08-01,オンライン,衣料品,1607000
2025-09-01,新宿店,家電,1903000
2025-09-01,新宿店,食品,1009000
2025-09-01,新宿店,日用品,655000
2025-09-01,新宿店,衣料品,1166000
2025-09-01,大阪店,家電,1617000
2025-09-01,大阪店,食品,858000
2025-09-01,大阪店,日用品,557000
2025-09-01,大阪店,衣料品,991000
2025-09-01,オンライン,家電,2379000
2025-09-01,オンライン,食品,1261000
2025-09-01,オンライン,日用品,820000
2025-09-01,オンライン,衣料品,1457000
2025-10-01,新宿店,家電,2039000
2025-10-01,新宿店,食品,1081000
2025-10-01,新宿店,日用品,702000
2025-10-01,新宿店,衣料品,1249000
2025-10-01,大阪店,家電,1733000
2025-10-01,大阪店,食品,919000
2025-10-01,大阪店,日用品,597000
2025-10-01,大阪店,衣料品,1062000
2025-10-01,オンライン,家電,2550000
2025-10-01,オンライン,食品,1351000
2025-10-01,オンライン,日用品,879000
2025-10-01,オンライン,衣料品,1561000
2025-11-01,新宿店,家電,2237000
2025-11-01,新宿店,食品,1186000
2025-11-01,新宿店,日用品,770000
2025-11-01,新宿店,衣料品,1370000
2025-11-01,大阪店,家電,1902000
2025-11-01,大阪店,食品,1008000
2025-11-01,大阪店,日用品,655000
2025-11-01,大阪店,衣料品,1165000
2025-11-01,オンライン,家電,2798000
2025-11-01,オンライン,食品,1482000
2025-11-01,オンライン,日用品,964000
2025-11-01,オンライン,衣料品,1713000
2025-12-01,新宿店,家電,2620000
2025-12-01,新宿店,食品,1388000
2025-12-01,新宿店,日用品,902000
2025-12-01,新宿店,衣料品,1604000
