店舗,年,月,売上,客数,区分
新宿店,2024,1,1624000,515,直営
大阪店,2024,1,1141000,337,直営
札幌店,2024,1,769000,239,FC
福岡店,2024,1,848000,263,FC
仙台店,2024,1,672000,211,直営
新宿店,2024,2,1281000,412,直営
大阪店,2024,2,907000,278,直営
札幌店,2024,2,664000,214,FC
福岡店,2024,2,682000,217,FC
仙台店,2024,2,544000,166,直営
新宿店,2024,3,1835000,575,直営
大阪店,2024,3,1397000,439,直営
札幌店,2024,3,945000,303,FC
福岡店,2024,3,1050000,312,FC
仙台店,2024,3,796000,251,直営
新宿店,2024,4,1443000,493,直営
大阪店,2024,4,1006000,305,直営
札幌店,2024,4,797000,245,FC
福岡店,2024,4,918000,300,FC
仙台店,2024,4,632000,210,直営
新宿店,2024,5,1438000,428,直営
大阪店,2024,5,1054000,345,直営
札幌店,2024,5,736000,0,FC
福岡店,2024,5,841000,289,FC
仙台店,2024,5,666000,202,直営
新宿店,2024,6,1585000,489,直営
大阪店,2024,6,1000000,306,直営
札幌店,2024,6,839000,262,FC
福岡店,2024,6,903000,310,FC
仙台店,2024,6,633000,193,直営
新宿店,2024,7,1515000,456,直営
大阪店,2024,7,1186000,356,直営
札幌店,2024,7,786000,231,FC
福岡店,2024,7,864000,259,FC
仙台店,2024,7,624000,196,直営
新宿店,2024,8,1533000,472,直営
大阪店,2024,8,1189000,392,直営
札幌店,2024,8,926000,292,FC
福岡店,2024,8,961000,296,FC
仙台店,2024,8,640000,201,直営
新宿店,2024,9,1553000,478,直営
大阪店,2024,9,1065000,365,直営
札幌店,2024,9,818000,263,FC
福岡店,2024,9,858000,283,FC
仙台店,2024,9,661000,206,直営
新宿店,2024,10,1397000,467,直営
大阪店,2024,10,1153000,357,直営
札幌店,2024,10,817000,262,FC
福岡店,2024,10,918000,314,FC
仙台店,2024,10,600000,204,直営
新宿店,2024,11,1617000,486,直営
大阪店,2024,11,1064000,314,直営
札幌店,2024,11,809000,276,FC
福岡店,2024,11,8500000,273,FC
仙台店,2024,11,593000,203,直営
新宿店,2024,12,1997000,646,直営
大阪店,2024,12,1449000,431,直営
札幌店,2024,12,1078000,350,FC
福岡店,2024,12,1248000,393,FC
仙台店,2024,12,814000,248,直営
新宿店,2025,1,1659000,549,直営
大阪店,2025,1,1125000,331,直営
札幌店,2025,1,866000,263,FC
福岡店,2025,1,957000,310,FC
仙台店,2025,1,639000,192,直営
新宿店,2025,2,1140000,386,直営
大阪店,2025,2,883000,273,直営
札幌店,2025,2,677000,231,FC
福岡店,2025,2,768000,237,FC
仙台店,2025,2,485000,149,直営
新宿店,2025,3,2050000,643,直営
大阪店,2025,3,1266000,402,直営
札幌店,2025,3,1060000,347,FC
福岡店,2025,3,1063000,352,FC
仙台店,2025,3,782000,243,直営
新宿店,2025,4,1549000,477,直営
大阪店,2025,4,1138000,354,直営
札幌店,2025,4,775000,229,FC
福岡店,2025,4,998000,329,FC
仙台店,2025,4,613000,204,直営
新宿店,2025,5,1706000,502,直営
大阪店,2025,5,1090000,354,直営
札幌店,2025,5,878000,282,FC
福岡店,2025,5,841000,248,FC
仙台店,2025,5,624000,197,直営
新宿店,2025,6,1539000,515,直営
大阪店,2025,6,1104000,376,直営
札幌店,2025,6,826000,246,FC
福岡店,2025,6,893000,281,FC
仙台店,2025,6,,205,直営
新宿店,2025,7,1651000,529,直営
大阪店,2025,7,1138000,338,直営
札幌店,2025,7,810000,265,FC
福岡店,2025,7,903000,289,FC
仙台店,2025,7,,235,直営
新宿店,2025,8,1736000,529,直営
大阪店,2025,8,1301000,395,直営
札幌店,2025,8,966000,322,FC
福岡店,2025,8,1047000,321,FC
仙台店,2025,8,778000,248,直営
新宿店,2025,9,1622000,550,直営
大阪店,2025,9,1097000,351,直営
札幌店,2025,9,859000,286,FC
福岡店,2025,9,926000,306,FC
仙台店,2025,9,709000,216,直営
新宿店,2025,10,1560000,507,直営
大阪店,2025,10,1191000,397,直営
札幌店,2025,10,761000,257,FC
福岡店,2025,10,969000,290,FC
仙台店,2025,10,679000,233,直営
新宿店,2025,11,1449000,486,直営
大阪店,2025,11,1236000,399,直営
札幌店,2025,11,819000,270,FC
福岡店,2025,11,966000,331,FC
仙台店,2025,11,657000,206,直営
新宿店,2025,12,2236000,698,直営
大阪店,2025,12,1696000,571,直営
札幌店,2025,12,1214000,395,FC
福岡店,2025,12,1258000,370,FC
仙台店,2025,12,911000,276,直営
